system:index,LST,NDVI,Risk,latitude,longitude,.geo
0,38.22474911000003,0.07232647389173508,0.36398984625739783,40.75116669595006,-74.02695057803889,"{""type"":""Point"",""coordinates"":[-74.02695057803889,40.75116669595006]}"
1,28.331290220000028,0.20662100613117218,-0.028950513891748353,40.810391561307796,-73.95704414451951,"{""type"":""Point"",""coordinates"":[-73.95704414451951,40.810391561307796]}"
2,39.805583360000014,0.029827315360307693,0.44846199792262126,40.75292293432088,-73.99111935412448,"{""type"":""Point"",""coordinates"":[-73.99111935412448,40.75292293432088]}"
3,42.449421830000006,0.02119622193276882,0.5253756395898119,40.776794972569995,-74.01913618075451,"{""type"":""Point"",""coordinates"":[-74.01913618075451,40.776794972569995]}"
4,31.576700210000013,-0.07562500238418579,0.34544305509850637,40.8018474727012,-73.9913558664882,"{""type"":""Point"",""coordinates"":[-73.9913558664882,40.8018474727012]}"
5,42.789514819999994,0.10282730311155319,0.4499914978243771,40.71495024687683,-73.96079330494359,"{""type"":""Point"",""coordinates"":[-73.96079330494359,40.71495024687683]}"
6,29.134524920000047,0.03329308331012726,0.1703560344929822,40.82318608554136,-73.9521050933508,"{""type"":""Point"",""coordinates"":[-73.9521050933508,40.82318608554136]}"
7,31.504921790000026,0.045989781618118286,0.21825320108825474,40.809275392266024,-73.96255897940537,"{""type"":""Point"",""coordinates"":[-73.96255897940537,40.809275392266024]}"
8,33.82746638000003,0.002419354859739542,0.32291141927720163,40.817648575220396,-73.91794730511143,"{""type"":""Point"",""coordinates"":[-73.91794730511143,40.817648575220396]}"
9,27.254613920000025,0.3291703760623932,-0.1829565782951137,40.81214937102703,-73.95653046420132,"{""type"":""Point"",""coordinates"":[-73.95653046420132,40.81214937102703]}"
10,18.070394180000022,-0.0680028647184372,-0.009889017224839036,40.807581246298575,-73.97678086307191,"{""type"":""Point"",""coordinates"":[-73.97678086307191,40.807581246298575]}"
11,33.99836738000002,0.06713488698005676,0.2606086219971974,40.80307144102469,-73.94826745895575,"{""type"":""Point"",""coordinates"":[-73.94826745895575,40.80307144102469]}"
12,24.916688240000042,-0.07314877212047577,0.17154901695173572,40.7774595344202,-74.00560422074271,"{""type"":""Point"",""coordinates"":[-74.00560422074271,40.7774595344202]}"
13,40.24821695,0.0032820513006299734,0.48720869734349426,40.71480335016164,-73.92981012207265,"{""type"":""Point"",""coordinates"":[-73.92981012207265,40.71480335016164]}"
14,24.161305820000024,-0.06893819570541382,0.1477756571637715,40.77049777818974,-74.00709817842773,"{""type"":""Point"",""coordinates"":[-74.00709817842773,40.77049777818974]}"
15,22.86416723000002,-0.07692307978868484,0.12263390077853409,40.80496664541934,-73.98434832186334,"{""type"":""Point"",""coordinates"":[-73.98434832186334,40.80496664541934]}"
16,35.56552955000001,0.3225919306278229,0.03763817955344173,40.7488722905102,-73.91652250060693,"{""type"":""Point"",""coordinates"":[-73.91652250060693,40.7488722905102]}"
17,27.175999460000014,0.39574629068374634,-0.25359606853150635,40.831234617064204,-73.99661923565151,"{""type"":""Point"",""coordinates"":[-73.99661923565151,40.831234617064204]}"
18,28.00828733000003,0.03026004694402218,0.1445073821279515,40.83241150701577,-73.91620381696555,"{""type"":""Point"",""coordinates"":[-73.91620381696555,40.83241150701577]}"
19,39.79362029000001,0.05629550665616989,0.4208745793728712,40.744770306643346,-73.97914288396008,"{""type"":""Point"",""coordinates"":[-73.97914288396008,40.744770306643346]}"
20,40.13200427000001,0.051326215267181396,0.43470181047277723,40.724763042439655,-73.94723707590211,"{""type"":""Point"",""coordinates"":[-73.94723707590211,40.724763042439655]}"
21,29.331061070000032,0.02595978043973446,0.18297043811594937,40.852405289105434,-73.92230259546625,"{""type"":""Point"",""coordinates"":[-73.92230259546625,40.852405289105434]}"
22,41.69916644,0.07703230530023575,0.44852595664603373,40.70275914569505,-73.92972476818836,"{""type"":""Point"",""coordinates"":[-73.92972476818836,40.70275914569505]}"
